name,hpxml_key,value
X0000,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.CombinedEnergyFactor,__double__
X0001,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.ControlType,timer
X0002,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.ControlType,moisture
X0003,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.ControlType,temperature
X0004,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,electricity
X0005,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,renewable electricity
X0006,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,natural gas
X0007,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,renewable natural gas
X0008,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,fuel oil
X0009,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,fuel oil 1
X0010,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,fuel oil 2
X0011,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,fuel oil 4
X0012,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,fuel oil 5/6
X0013,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,district steam
X0014,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,district hot water
X0015,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,district chilled water
X0016,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,solar hot water
X0017,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,propane
X0018,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,kerosene
X0019,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,diesel
X0020,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,coal
X0021,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,anthracite coal
X0022,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,bituminous coal
X0023,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,coke
X0024,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,wood
X0025,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,wood pellets
X0026,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,combination
X0027,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.FuelType,other
X0028,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,attic
X0029,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,attic - conditioned
X0030,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,attic - unconditioned
X0031,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,attic - unvented
X0032,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,attic - vented
X0033,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,basement
X0034,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,basement - conditioned
X0035,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,basement - unconditioned
X0036,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,conditioned space
X0037,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,crawlspace
X0038,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,crawlspace - conditioned
X0039,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,crawlspace - unconditioned
X0040,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,crawlspace - unvented
X0041,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,crawlspace - vented
X0042,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,manufactured home belly
X0043,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,garage
X0044,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,garage - conditioned
X0045,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,garage - unconditioned
X0046,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,living space
X0047,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,mechanical closet
X0048,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,other exterior
X0049,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,other heated space
X0050,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,other housing unit
X0051,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,other interior
X0052,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,other multifamily buffer space
X0053,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,other non-freezing space
X0054,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,roof deck
X0055,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.Location,unconditioned space
X0056,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.extension.IsVented,false
X0057,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.extension.IsVented,true
X0058,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.extension.VentedFlowRate,__double__
X0059,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Capacity,__double__
X0060,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.IntegratedModifiedEnergyFactor,__double__
X0061,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.LabelAnnualGasCost,__double__
X0062,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.LabelElectricRate,__double__
X0063,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.LabelGasRate,__double__
X0064,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.LabelUsage,__double__
X0065,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,attic
X0066,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,attic - conditioned
X0067,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,attic - unconditioned
X0068,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,attic - unvented
X0069,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,attic - vented
X0070,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,basement
X0071,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,basement - conditioned
X0072,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,basement - unconditioned
X0073,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,conditioned space
X0074,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,crawlspace
X0075,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,crawlspace - conditioned
X0076,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,crawlspace - unconditioned
X0077,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,crawlspace - unvented
X0078,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,crawlspace - vented
X0079,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,manufactured home belly
X0080,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,garage
X0081,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,garage - conditioned
X0082,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,garage - unconditioned
X0083,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,living space
X0084,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,mechanical closet
X0085,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,other exterior
X0086,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,other heated space
X0087,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,other housing unit
X0088,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,other interior
X0089,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,other multifamily buffer space
X0090,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,other non-freezing space
X0091,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,roof deck
X0092,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.Location,unconditioned space
X0093,HPXML.Building.BuildingDetails.Appliances.ClothesWasher.RatedAnnualkWh,__double__
X0094,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,electricity
X0095,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,renewable electricity
X0096,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,natural gas
X0097,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,renewable natural gas
X0098,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,fuel oil
X0099,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,fuel oil 1
X0100,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,fuel oil 2
X0101,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,fuel oil 4
X0102,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,fuel oil 5/6
X0103,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,district steam
X0104,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,district hot water
X0105,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,district chilled water
X0106,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,solar hot water
X0107,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,propane
X0108,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,kerosene
X0109,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,diesel
X0110,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,coal
X0111,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,anthracite coal
X0112,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,bituminous coal
X0113,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,coke
X0114,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,wood
X0115,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,wood pellets
X0116,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,combination
X0117,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,other
X0118,HPXML.Building.BuildingDetails.Appliances.CookingRange.IsInduction,false
X0119,HPXML.Building.BuildingDetails.Appliances.CookingRange.IsInduction,true
X0120,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,basement
X0121,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,basement - conditioned
X0122,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,basement - unconditioned
X0123,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,conditioned space
X0124,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,garage
X0125,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,garage - conditioned
X0126,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,garage - unconditioned
X0127,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,kitchen
X0128,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,living space
X0129,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,other
X0130,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,other heated space
X0131,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,other housing unit
X0132,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,other multifamily buffer space
X0133,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,other non-freezing space
X0134,HPXML.Building.BuildingDetails.Appliances.CookingRange.Location,unconditioned space
X0135,HPXML.Building.BuildingDetails.Appliances.Oven.IsConvection,false
X0136,HPXML.Building.BuildingDetails.Appliances.Oven.IsConvection,true
X0137,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.AverageCeilingHeight,__double__
X0138,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.ConditionedFloorArea,__double__
X0139,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.NumberofBathrooms,__double__
X0140,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.NumberofBedrooms,__double__
